# RA = 11 04 27.31 (166.1138)
# Dec = +38 12 31.79 (38.20883)
# Redshift = 0.0
# nH = 1.92E20 cm^-2 
# BeppoSAX Spectra (Giommi et al. 2002) (id = 40)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.3950E17     2.0770E16    1.3665E-10   7.8618E-12    50569.13745    50569.61257
1.8830E17     2.8050E16    1.3231E-10   5.2986E-12    50569.13745    50569.61257
2.5420E17     3.7860E16    1.2801E-10   4.5958E-12    50569.13745    50569.61257
3.4320E17     5.1110E16    1.1696E-10   4.4475E-12    50569.13745    50569.61257
4.6330E17     6.9010E16    1.0488E-10   2.8152E-12    50569.13745    50569.61257
6.2550E17     9.3160E16    8.8421E-11   2.2462E-12    50569.13745    50569.61257
8.4440E17     1.2580E17    7.2995E-11   2.3614E-12    50569.13745    50569.61257
1.1400E18     1.6980E17    5.7982E-11   2.5232E-12    50569.13745    50569.61257
1.5390E18     2.2920E17    4.5200E-11   2.9633E-12    50569.13745    50569.61257
2.0780E18     3.0940E17    3.5261E-11   4.2710E-12    50569.13745    50569.61257
2.8050E18     4.1770E17    3.4097E-11   5.9665E-12    50569.13745    50569.61257
3.7870E18     5.6400E17    2.3764E-11   7.4040E-12    50569.13745    50569.61257
5.1120E18     7.6140E17    1.3121E-11   5.6114E-12    50569.13745    50569.61257
1.3950E17     2.0770E16    1.2152E-10   7.5656E-12    50568.13853    50568.61257
1.8830E17     2.8050E16    1.1975E-10   5.1653E-12    50568.13853    50568.61257
2.5420E17     3.7860E16    1.1276E-10   4.4159E-12    50568.13853    50568.61257
3.4320E17     5.1110E16    1.0242E-10   4.2636E-12    50568.13853    50568.61257
4.6330E17     6.9010E16    9.1837E-11   2.6236E-12    50568.13853    50568.61257
6.2550E17     9.3160E16    7.5065E-11   2.0579E-12    50568.13853    50568.61257
8.4440E17     1.2580E17    6.1312E-11   2.1533E-12    50568.13853    50568.61257
1.1400E18     1.6980E17    4.8420E-11   2.2970E-12    50568.13853    50568.61257
1.5390E18     2.2920E17    3.6566E-11   2.6480E-12    50568.13853    50568.61257
2.0780E18     3.0940E17    2.7242E-11   3.7938E-12    50568.13853    50568.61257
2.8050E18     4.1770E17    2.0942E-11   4.7456E-12    50568.13853    50568.61257
3.7870E18     5.6400E17    1.9813E-11   8.8386E-12    50568.13853    50568.61257
